Month of Date,City,Number of Active Flights,Increase Percentage
2020-01-01,Zurich,160,-0.2
2020-02-01,Zurich,170,-0.2
2020-03-01,Zurich,74,-0.2
2020-04-01,Zurich,8,-0.2
2020-05-01,Zurich,16,-0.2
2020-06-01,Zurich,34,-0.2
2020-07-01,Zurich,48,-0.2
2020-08-01,Zurich,76,-0.2
2020-09-01,Zurich,74,-0.2
2020-10-01,Zurich,48,-0.2
2020-11-01,Zurich,34,-0.2
2020-12-01,Zurich,44,-0.2
2021-01-01,Zurich,38,-0.2
2021-02-01,Zurich,22,-0.2
2021-03-01,Zurich,34,-0.2
2021-04-01,Zurich,38,-0.2
2021-05-01,Zurich,52,-0.2
2021-06-01,Zurich,74,-0.2
2021-07-01,Zurich,110,-0.2
2021-08-01,Zurich,126,-0.2
2021-09-01,Zurich,106,-0.2
2021-10-01,Zurich,110,-0.2
2021-11-01,Zurich,102,-0.2
2021-12-01,Zurich,82,-0.2
2022-01-01,Zurich,102,-0.2
2022-02-01,Zurich,54,-0.2
2022-03-01,Zurich,86,-0.2
2022-04-01,Zurich,144,-0.2
2022-05-01,Zurich,120,-0.2
2022-06-01,Zurich,142,-0.2
2022-07-01,Zurich,144,-0.2
2022-08-01,Zurich,148,-0.2
2022-09-01,Zurich,140,-0.2
2022-10-01,Zurich,128,-0.2
2020-01-01,Zaragoza,8,-0.5
2020-02-01,Zaragoza,2,-0.5
2020-03-01,Zaragoza,4,-0.5
2020-05-01,Zaragoza,2,-0.5
2020-06-01,Zaragoza,2,-0.5
2020-07-01,Zaragoza,2,-0.5
2020-08-01,Zaragoza,2,-0.5
2020-09-01,Zaragoza,6,-0.5
2020-10-01,Zaragoza,4,-0.5
2020-11-01,Zaragoza,4,-0.5
2020-12-01,Zaragoza,6,-0.5
2021-01-01,Zaragoza,6,-0.5
2021-02-01,Zaragoza,6,-0.5
2021-03-01,Zaragoza,4,-0.5
2021-04-01,Zaragoza,4,-0.5
2021-05-01,Zaragoza,10,-0.5
2021-06-01,Zaragoza,4,-0.5
2021-07-01,Zaragoza,6,-0.5
2021-08-01,Zaragoza,2,-0.5
2021-09-01,Zaragoza,2,-0.5
2021-10-01,Zaragoza,4,-0.5
2021-11-01,Zaragoza,6,-0.5
2021-12-01,Zaragoza,2,-0.5
2022-01-01,Zaragoza,6,-0.5
2022-02-01,Zaragoza,12,-0.5
2022-03-01,Zaragoza,6,-0.5
2022-04-01,Zaragoza,4,-0.5
2022-06-01,Zaragoza,4,-0.5
2022-07-01,Zaragoza,4,-0.5
2022-08-01,Zaragoza,2,-0.5
2022-09-01,Zaragoza,8,-0.5
2022-10-01,Zaragoza,4,-0.5
2020-01-01,Wroclaw,6,1.0
2020-02-01,Wroclaw,4,1.0
2020-03-01,Wroclaw,4,1.0
2020-05-01,Wroclaw,2,1.0
2020-06-01,Wroclaw,2,1.0
2020-07-01,Wroclaw,4,1.0
2020-08-01,Wroclaw,10,1.0
2020-09-01,Wroclaw,4,1.0
2020-10-01,Wroclaw,4,1.0
2020-11-01,Wroclaw,2,1.0
2021-01-01,Wroclaw,6,1.0
2021-02-01,Wroclaw,2,1.0
2021-04-01,Wroclaw,2,1.0
2021-05-01,Wroclaw,4,1.0
2021-06-01,Wroclaw,10,1.0
2021-07-01,Wroclaw,8,1.0
2021-08-01,Wroclaw,12,1.0
2021-09-01,Wroclaw,18,1.0
2021-10-01,Wroclaw,14,1.0
2021-11-01,Wroclaw,8,1.0
2021-12-01,Wroclaw,14,1.0
2022-01-01,Wroclaw,14,1.0
2022-02-01,Wroclaw,4,1.0
2022-03-01,Wroclaw,6,1.0
2022-04-01,Wroclaw,14,1.0
2022-05-01,Wroclaw,10,1.0
2022-06-01,Wroclaw,2,1.0
2022-07-01,Wroclaw,14,1.0
2022-08-01,Wroclaw,10,1.0
2022-09-01,Wroclaw,8,1.0
2022-10-01,Wroclaw,12,1.0
2020-01-01,Wrightstown,4,-0.5
2020-06-01,Wrightstown,2,-0.5
2020-07-01,Wrightstown,2,-0.5
2020-09-01,Wrightstown,4,-0.5
2020-10-01,Wrightstown,6,-0.5
2020-12-01,Wrightstown,6,-0.5
2021-01-01,Wrightstown,2,-0.5
2021-02-01,Wrightstown,2,-0.5
2021-03-01,Wrightstown,4,-0.5
2021-05-01,Wrightstown,8,-0.5
2021-06-01,Wrightstown,6,-0.5
2021-07-01,Wrightstown,4,-0.5
2021-10-01,Wrightstown,2,-0.5
2021-11-01,Wrightstown,2,-0.5
2022-01-01,Wrightstown,4,-0.5
2022-02-01,Wrightstown,6,-0.5
2022-04-01,Wrightstown,2,-0.5
2022-07-01,Wrightstown,4,-0.5
2022-09-01,Wrightstown,4,-0.5
2022-10-01,Wrightstown,2,-0.5
2020-01-01,Wollongong,2,4.0
2020-02-01,Wollongong,6,4.0
2020-06-01,Wollongong,2,4.0
2020-07-01,Wollongong,2,4.0
2020-09-01,Wollongong,2,4.0
2020-11-01,Wollongong,8,4.0
2020-12-01,Wollongong,2,4.0
2021-01-01,Wollongong,6,4.0
2021-02-01,Wollongong,2,4.0
2021-03-01,Wollongong,6,4.0
2021-04-01,Wollongong,2,4.0
2021-05-01,Wollongong,4,4.0
2021-07-01,Wollongong,2,4.0
2021-08-01,Wollongong,2,4.0
2021-09-01,Wollongong,2,4.0
2021-10-01,Wollongong,4,4.0
2021-12-01,Wollongong,4,4.0
2022-01-01,Wollongong,4,4.0
2022-04-01,Wollongong,2,4.0
2022-05-01,Wollongong,4,4.0
2022-06-01,Wollongong,2,4.0
2022-07-01,Wollongong,4,4.0
2022-08-01,Wollongong,4,4.0
2022-09-01,Wollongong,4,4.0
2022-10-01,Wollongong,10,4.0
2020-01-01,Winston-salem,2,3.0
2020-08-01,Winston-salem,2,3.0
2020-10-01,Winston-salem,2,3.0
2020-11-01,Winston-salem,2,3.0
2020-12-01,Winston-salem,2,3.0
2021-02-01,Winston-salem,4,3.0
2021-03-01,Winston-salem,4,3.0
2021-04-01,Winston-salem,4,3.0
2021-05-01,Winston-salem,4,3.0
2021-06-01,Winston-salem,2,3.0
2021-07-01,Winston-salem,4,3.0
2021-08-01,Winston-salem,4,3.0
2021-09-01,Winston-salem,4,3.0
2021-10-01,Winston-salem,4,3.0
2021-11-01,Winston-salem,8,3.0
