,ICAO,Airline,Country/Region
0,BOI,2GO,Philippines
1,GNL,135 Airways,United States
2,TBS,Timbis Air,Kenya
3,WYT,2 Sqn No 1 Elementary Flying Training School,United Kingdom
4,TFU,213th Flight Unit,Russia
5,CHD,223rd Flight Unit,Russia
6,TTF,224th Flight Unit,Russia
7,TWF,247 Jet Ltd,United Kingdom
8,SEC,3D Aviation,United States
9,MLA,40-Mile Air,United States
10,QRT,4D Air,Thailand
11,PIU,43 Air School,South Africa
12,ASD,Air Sinai,Egypt
13,SEK,Star East Airline,Romania
14,AIJ,Interjet,Mexico
15,XRC,Express Air Cargo,Tunisia
16,UBE,Bees Airline,Ukraine
17,RYA,Ryan Air Services,United States
18,BRO,2Excel Aviation,United Kingdom
19,GBT,A-Jet Aviation Aircraft Management,Austria
20,AJR,A-Jet Aviation Company,Mongolia
21,SFM,A-Safar Air Services,Nigeria
22,AJJ,A2 Jet Leasing,United States
23,XXV,AASANA,Bolivia
24,BBE,Ababeel Aviation,Sudan
25,NKP,Abakan Air,Russia
26,ABG,Abakan-Avia,Russia
27,ABE,Aban Air,Iran
28,MRP,Abas,Czech Republic
29,AHU,ABC Air Hungary,Hungary
30,FTY,ABC Bedarfsflug,Austria
31,AAB,Abelag Aviation,Belgium
32,BDV,Aberdair Aviation,Kenya
33,ROH,Aberdair Aviation Ghana,Ghana
34,ADJ,Abidjan Air Cargo,Côte d'Ivoire
35,ABP,ABS Jets,Czech Republic
36,TUS,ABSA Cargo,Brazil
37,TTN,Absolute Flight Services,South Africa
38,ABX,ABX Air,United States
39,IAE,AC Insat-Aero,Russia
40,NCL,ACA (Ancargo Air),Angola
41,ACD,Academy Airlines,United States
42,CYD,AccessAir,United States
43,CFM,ACEF,Portugal
44,ARO,Acero Taxi,Mexico
45,AES,ACES Colombia,Colombia
46,BVR,ACM Air Charter,Germany
47,BJT,ACM Aviation,United States
48,CRV,Acropolis Aviation,United Kingdom
49,ORS,Action Air,Italy
50,AXQ,Action Airlines (Action Air Charter),United States
51,AVR,"Active Aero Charter, Inc.",United States
52,RRM,Acvila Air-Romanian Carrier,Romania
53,ADC,AD Astra Executive Charter,Poland
54,VUE,AD Aviation,United Kingdom
55,ADE,Ada Air,Albania
56,DHI,Adam Air,Indonesia
57,ADK,ADC Airlines,Nigeria
58,ADW,ADC Airways,Lebanon
59,DSC,Addis Air Cargo Services,Ethiopia
60,DDS,Addis Airlines,Ethiopia
61,ADF,"Ade, Aviación Deportiva",Spain
62,TEC,ADI Shuttle Group,United States
63,SWH,Adler Aviation,Canada
64,ADR,Adria Airways,Slovenia
65,DRO,Adro Servicios Aereos,Mexico
66,ADV,Advance Air Charters,Canada
67,AXX,Advance Air Luftfahrtgesellschaft,Germany
68,AAX,Advance Aviation,Thailand
69,XTJ,Advance Aviation Services,United States
70,WSN,Advanced Air,United States
71,ADD,Advanced Air Co.,Japan
72,ADV,Advanced Flight Training,United Kingdom
73,RDD,Adygea Airlines,defunct
74,DVN,Adventia,Spain
75,EBS,AEG Aviation Services,United States
76,AEE,Aegean Airlines,Greece
77,ALS,Aeralp,France
78,AEF,Aerea,Spain
79,DRD,Aereo Dorado,Mexico
80,FUT,Aereo Futuro,Mexico
81,MMG,Aereo Ruta Maya,Guatemala
82,AGI,Aereo Transportes Los Angeles de America,Mexico
83,WWG,Aereo WWG,Mexico
84,AED,Aernord,Italy
85,AKR,Aero Clinker,Mexico
86,RRB,Aero Club de Castellon,Spain
87,CND,Aero Continente Dominicana,Dominican Republic
88,ARP,Aero Corporate,Côte d'Ivoire
89,AEK,Aero Costa Rica,Costa Rica
90,EPU,Aero Elite Acapulco,Mexico
91,XPN,Aero Express,Niger
92,AJP,Aero Jets Corporativos,Mexico
93,OWN,Aero Owen,Mexico
94,GHM,Aero Service Bolivia,Bolivia
95,GLM,Aero Services Mali,Mali
96,GUE,Aero Servicio Guerrero,Mexico
97,ASR,Aero Sotravia,France
98,ABA,Aero-Beta,Germany
99,UCR,Aero-Charter Ukraine,Ukraine
100,EAP,Aero-Pyrenees,France
101,AJH,Aeroaljarafe,Spain
102,AOB,Aerocaribe Coro,Venezuela
103,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",Spain
104,ERC,Aerocharter,Guatemala
105,BSO,Aeroclub Barcelona-Sabadell,Spain
106,NVA,Aeroclub de Albacete,Spain
107,LUE,Aeroclub de Alicante,Spain
108,MLL,Aeroclub de Mallorca,Spain
109,AVX,Aeroclub de Vitoria,Spain
110,CTD,Aerocorporativos,Mexico
111,RRO,Aerocredo,Russia
112,DVI,Aerodavinci,Mexico
113,FAQ,Aerofaq,Ecuador
114,AFL,Aeroflot,Russia
115,PLS,Aeroflot-Plus,Russia
116,AEG,Aerofumigaciones Sam,Chile
117,AGQ,Aerogala,Chile
118,ARH,Aerohelicopteros,Venezuela
119,BJU,AeroJet,Angola
