Month of Date,Country,Number of Active Flights,Increase Percentage_x,Increase Percentage_y
2020-01-01,Vietnam,2,200.0,2.0
2020-06-01,Vietnam,8,200.0,2.0
2020-07-01,Vietnam,26,200.0,2.0
2020-08-01,Vietnam,16,200.0,2.0
2020-09-01,Vietnam,12,200.0,2.0
2020-10-01,Vietnam,12,200.0,2.0
2020-11-01,Vietnam,12,200.0,2.0
2020-12-01,Vietnam,18,200.0,2.0
2021-01-01,Vietnam,36,200.0,2.0
2021-02-01,Vietnam,42,200.0,2.0
2021-03-01,Vietnam,20,200.0,2.0
2021-04-01,Vietnam,40,200.0,2.0
2021-05-01,Vietnam,20,200.0,2.0
2021-06-01,Vietnam,16,200.0,2.0
2021-07-01,Vietnam,10,200.0,2.0
2021-08-01,Vietnam,12,200.0,2.0
2021-09-01,Vietnam,18,200.0,2.0
2021-10-01,Vietnam,22,200.0,2.0
2021-11-01,Vietnam,2,200.0,2.0
2022-01-01,Vietnam,8,200.0,2.0
2022-02-01,Vietnam,12,200.0,2.0
2022-03-01,Vietnam,18,200.0,2.0
2022-04-01,Vietnam,8,200.0,2.0
2022-05-01,Vietnam,20,200.0,2.0
2022-06-01,Vietnam,10,200.0,2.0
2022-07-01,Vietnam,22,200.0,2.0
2022-08-01,Vietnam,8,200.0,2.0
2022-09-01,Vietnam,12,200.0,2.0
2022-10-01,Vietnam,6,200.0,2.0
2020-01-01,United States,9580,17.954070981210858,0.17954070981210857
2020-02-01,United States,9372,17.954070981210858,0.17954070981210857
2020-03-01,United States,9010,17.954070981210858,0.17954070981210857
2020-04-01,United States,3308,17.954070981210858,0.17954070981210857
2020-05-01,United States,3454,17.954070981210858,0.17954070981210857
2020-06-01,United States,4194,17.954070981210858,0.17954070981210857
2020-07-01,United States,5976,17.954070981210858,0.17954070981210857
2020-08-01,United States,6438,17.954070981210858,0.17954070981210857
2020-09-01,United States,6076,17.954070981210858,0.17954070981210857
2020-10-01,United States,6420,17.954070981210858,0.17954070981210857
2020-11-01,United States,6542,17.954070981210858,0.17954070981210857
2020-12-01,United States,7096,17.954070981210858,0.17954070981210857
2021-01-01,United States,6520,17.954070981210858,0.17954070981210857
2021-02-01,United States,6212,17.954070981210858,0.17954070981210857
2021-03-01,United States,7978,17.954070981210858,0.17954070981210857
2021-04-01,United States,8518,17.954070981210858,0.17954070981210857
2021-05-01,United States,8952,17.954070981210858,0.17954070981210857
